OBJECTID,Id,St_label,Labelside,Address,Numberreal,Occupantre,Dm,DetailCat,StreetName,Angle,Direction
1,110046,Lexington Avenue,L,1104 LEXINGTON AVENUE,1104,Vacant (Available),,Available,Lexington Ave,36.29262973,W
2,110047,Lexington Avenue,L,1104 LEXINGTON AVENUE,1106,Loft Opticians,,Optical,Lexington Ave,36.29262973,W
3,110048,Lexington Avenue,L,138 EAST 78 STREET,1108,Vacant (Available),5/16/2017,Vacant,Lexington Ave,36.29262973,W
4,110049,Lexington Avenue,L,138 EAST 78 STREET,1110,Vacant (Available),,Available,Lexington Ave,36.29262973,W
5,110050,Lexington Avenue,L,138 EAST 78 STREET,1114,Butterfield Market,,Grocery,E 78th St,-67.8097111,S
6,110051,Lexington Avenue,L,138 EAST 78 STREET,1118,The Windsor Flowers of Distinction,6/15/2010,Candy/Gifts/Cards,E 78th St,-67.8097111,S
7,110052,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Cohen's Fashion Optical,7/22/2009,Optical,Lexington Ave,36.13537661,E
8,110053,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Yogurt & Candy World,10/27/2014,Candy/Gifts/Cards,Lexington Ave,36.13537661,E
9,110054,Lexington Avenue,R,767 LEXINGTON AVENUE,767,Torino Jewelers,7/20/2009,Accessories,Lexington Ave,36.13537661,E
10,110055,Lexington Avenue,R,773 LEXINGTON AVENUE,773,Duane Reade,,Convenience Store,Lexington Ave,36.13537661,E
11,110056,Lexington Avenue,R,773 LEXINGTON AVENUE,773,AT&T,,Electronics,E 61st St,-66.92958775,N
12,110057,Lexington Avenue,R,783 LEXINGTON AVENUE,783,Lush,4/10/2013,Cosmetics: Cosmetic Stores,E 61st St,-66.92958775,N
13,110058,Lexington Avenue,R,783 LEXINGTON AVENUE,785,Pick A Bagel,,Caf??,E 61st St,-66.92958775,N
14,110059,Lexington Avenue,R,787 LEXINGTON AVENUE,787,Bolton's,9/19/2012,Department Store,Lexington Ave,36.13537661,E
15,110060,Lexington Avenue,R,787 LEXINGTON AVENUE,789,Ultimate Spectacle,9/14/2012,Accessories,Lexington Ave,36.13537661,E
16,110061,Lexington Avenue,R,789 LEXINGTON AVENUE,789,Yuva Threading Salon (2nd Floor),6/19/2012,Salon/Spa,Lexington Ave,36.13537661,E
17,110062,Lexington Avenue,R,791 LEXINGTON AVENUE,793,Lexington Luggage,11/1/2011,Luggage,Lexington Ave,36.13537661,E
18,110063,Lexington Avenue,R,795 LEXINGTON AVENUE,795,Ajisai Sushi,9/4/2013,Restaurant,Lexington Ave,36.13537661,E
19,110064,Lexington Avenue,R,797 LEXINGTON AVENUE,797,Lexington Hardware,9/10/2008,Home Improvement,Lexington Ave,36.13537661,E
20,110065,Lexington Avenue,R,797 LEXINGTON AVENUE,799,Newton-Timmerman Pharmacy,,Pharmacy,Lexington Ave,36.13537661,E
21,110066,Lexington Avenue,R,801 LEXINGTON AVENUE,801,Vacant (Available),5/16/2017,Vacant,E 62nd St,-67.18196626,N
22,110067,Lexington Avenue,R,803 LEXINGTON AVENUE,803,Sunshine Flowers,,Misc Service,E 62nd St,-67.18196626,N
23,110068,Lexington Avenue,R,805 LEXINGTON AVENUE,805,Paola Poggi,12/27/2013,Fashion:FastFashion/Affordable/Value,Lexington Ave,35.97238705,E
24,110069,Lexington Avenue,R,805 LEXINGTON AVENUE,807,Korean Express,6/19/2012,Restaurant,Lexington Ave,35.97238705,E
25,110070,Lexington Avenue,R,809 LEXINGTON AVENUE,809,Lex Grocery Deli,7/20/2009,Convenience Store,Lexington Ave,35.97238705,E
26,110071,Lexington Avenue,R,811 LEXINGTON AVENUE,811,Ray's Pizza,,Quick Service Restaurant,Lexington Ave,35.97238705,E
27,110072,Lexington Avenue,R,140 EAST 63 STREET,817,Equinox Fitness Club,,Fitness,Lexington Ave,35.97238705,E
28,110073,Lexington Avenue,R,139 EAST 63 STREET,825,MAC Makeup Studio,7/28/2015,Salon/Spa,E 63rd St,-67.35518045,N
29,110074,Lexington Avenue,R,139 EAST 63 STREET,827,Benoit Jewelers,,Accessories,Lexington Ave,36.13537661,E
30,110075,Lexington Avenue,R,139 EAST 63 STREET,827A,Expose,7/20/2009,Fashion:Upscale,Lexington Ave,36.13537661,E
31,110076,Lexington Avenue,R,139 EAST 63 STREET,829,Four Seasons Spa,7/28/2015,Salon/Spa,Lexington Ave,36.13537661,E
32,110077,Lexington Avenue,R,139 EAST 63 STREET,831,Lingerie on Lex,,Accessories,Lexington Ave,36.13537661,E
33,110078,Lexington Avenue,R,833 LEXINGTON AVENUE,831-A,Rosa Rosa Flowers,7/20/2009,Misc Service,Lexington Ave,36.13537661,E
34,110079,Lexington Avenue,R,835 LEXINGTON AVENUE,833,Le Botaniste,6/20/2016,Restaurant,Lexington Ave,36.13537661,E
35,110080,Lexington Avenue,R,835 LEXINGTON AVENUE,835,Peter Ashe Real Estate,6/11/2014,Misc Service,Lexington Ave,36.13537661,E
36,110081,Lexington Avenue,R,835 LEXINGTON AVENUE,837,Infinity News,7/20/2009,Convenience Store,Lexington Ave,36.13537661,E
37,110082,Lexington Avenue,R,835 LEXINGTON AVENUE,839,Eat Here Now,,Restaurant,Lexington Ave,36.13537661,E
38,110083,Lexington Avenue,R,841 LEXINGTON AVENUE,841,Kiehl's,6/19/2012,Cosmetics: Cosmetic Stores,E 64th St,-66.92958775,N
39,110084,Lexington Avenue,R,843 LEXINGTON AVENUE,843,Barbaresco,,Restaurant,E 64th St,-66.92958775,N
40,110085,Lexington Avenue,R,845 LEXINGTON AVENUE,845,Donohue's Steak House,7/20/2009,Restaurant_1,Lexington Ave,36.29262973,E
41,110086,Lexington Avenue,R,847 LEXINGTON AVENUE,847,Oxford Cleaners,,Misc Service,Lexington Ave,36.29262973,E
42,110087,Lexington Avenue,R,849 LEXINGTON AVENUE,849,Hale & Hearty,,Quick Service Restaurant,Lexington Ave,36.29262973,E
43,110088,Lexington Avenue,R,851 LEXINGTON AVENUE,851,Elim Caf??,10/8/2010,Caf??,Lexington Ave,36.29262973,E
44,110089,Lexington Avenue,R,853 LEXINGTON AVENUE,853,Sel et Poivre,9/10/2008,Restaurant,Lexington Ave,36.29262973,E
45,110090,Lexington Avenue,R,855 LEXINGTON AVENUE,855,Cambridge Chemists Inc.,7/13/2007,Pharmacy,Lexington Ave,36.29262973,E
46,110091,Lexington Avenue,R,857 LEXINGTON AVENUE,857,Vacant (Available),,Available,Lexington Ave,36.29262973,E
47,110092,Lexington Avenue,,132A EAST 65 STREET,859,delete,,,Lexington Ave,36.29262973,
48,110093,Lexington Avenue,R,132A EAST 65 STREET,861,Le Pain Quotidien,7/22/2014,Caf??,E 65th St,-66.63088684,N
49,110094,Lexington Avenue,R,869 LEXINGTON AVENUE,869,Church of St. Vincent Ferrer,7/20/2009,Landmark,Lexington Ave,36.41637852,E
50,110095,Lexington Avenue,R,895 LEXINGTON AVENUE,889,Residential,,Residential,Lexington Ave,35.97238705,E
51,110096,Lexington Avenue,R,889 LEXINGTON AVENUE,897,Residential,,Residential,Lexington Ave,35.97238705,E
52,110097,Lexington Avenue,R,901 LEXINGTON AVENUE,907,Residential,,Residential,Lexington Ave,34.99202019,E
53,110098,Lexington Avenue,R,921 LEXINGTON AVENUE,913,Hunter College,,Education,Lexington Ave,36.02737339,E
54,110099,Lexington Avenue,R,931 LEXINGTON AVENUE,923,Jean Claude Biguine Salon,,Salon/Spa,E 68th St,-67.0871716,N
55,110100,Lexington Avenue,R,931 LEXINGTON AVENUE,925,RadioShack,,Electronics,Lexington Ave,36.13537661,E
56,110101,Lexington Avenue,R,931 LEXINGTON AVENUE,927,Garnet Liquors,,Misc Service,Lexington Ave,36.13537661,E
57,110102,Lexington Avenue,R,931 LEXINGTON AVENUE,931,Metro Drugs,9/10/2008,Pharmacy,Lexington Ave,36.13537661,E
58,110103,Lexington Avenue,R,931 LEXINGTON AVENUE,937,Metro Drugs Expansion,10/17/2016,Convenience Store,Lexington Ave,36.13537661,E
59,110104,Lexington Avenue,R,931 LEXINGTON AVENUE,939,Shakespeare & Co. Booksellers,7/20/2009,Books,Lexington Ave,36.13537661,E
60,110105,Lexington Avenue,R,931 LEXINGTON AVENUE,941,Chase,,Bank,E 69th St,-66.84491425,N
61,110106,Lexington Avenue,R,943 LEXINGTON AVENUE,945,Residential,,Residential,Lexington Ave,36.57303098,E
62,110107,Lexington Avenue,R,955 LEXINGTON AVENUE,955,Residential,,Residential,Lexington Ave,36.57303098,E
63,110108,Lexington Avenue,R,961 LEXINGTON AVENUE,961,Neil's Coffee Shop,7/20/2009,Caf??,E 70th St,-67.15023793,N
64,110109,Lexington Avenue,R,963 LEXINGTON AVENUE,963,Cognac Brasserie,9/4/2013,Restaurant,E 70th St,-67.15023793,N
65,110110,Lexington Avenue,R,965 LEXINGTON AVENUE,965,Mariella Pizza,,Quick Service Restaurant,E 70th St,-67.15023793,N
66,110111,Lexington Avenue,R,967 LEXINGTON AVENUE,967,Bella Blu Restaurant,12/1/2007,Restaurant,Lexington Ave,36.13537661,E
67,110112,Lexington Avenue,R,969 LEXINGTON AVENUE,969,Sette Mezzo,,Restaurant,Lexington Ave,36.13537661,E
68,110113,Lexington Avenue,R,971 LEXINGTON AVENUE,971,Lex Gourmet,,Grocery,Lexington Ave,36.13537661,E
69,110114,Lexington Avenue,R,973 LEXINGTON AVENUE,973,Caffe dei Fiori,4/24/2015,Caf??,Lexington Ave,36.13537661,E
70,110115,Lexington Avenue,R,975 LEXINGTON AVENUE,975,San Francisco Clothing,,Accessories,Lexington Ave,36.13537661,E
71,110116,Lexington Avenue,R,975 LEXINGTON AVENUE,979,Vacant (Available),,Available,Lexington Ave,36.13537661,E
72,110117,Lexington Avenue,R,975 LEXINGTON AVENUE,981,York Barber Shop,9/10/2008,Salon/Spa,Lexington Ave,36.13537661,E
73,110118,Lexington Avenue,R,975 LEXINGTON AVENUE,983,Cotelac,10/14/2013,Fashion:Luxury,E 71st St,-67.15023793,N
74,110119,Lexington Avenue,R,985 LEXINGTON AVENUE,985,Oren's Daily Roast,,Caf??,E 71st St,-67.15023793,N
75,110120,Lexington Avenue,R,985 LEXINGTON AVENUE,985,French Sole,,Restaurant,E 71st St,-67.15023793,N
76,110121,Lexington Avenue,R,985 LEXINGTON AVENUE,985,Lexington News,4/24/2015,Convenience Store,Lexington Ave,35.77607772,E
77,110122,Lexington Avenue,R,985 LEXINGTON AVENUE,989,Vacant (Available),,Available,Lexington Ave,35.77607772,E
78,110123,Lexington Avenue,R,985 LEXINGTON AVENUE,989,Tesoro Designers,7/20/2009,Accessories,Lexington Ave,35.77607772,E
79,110124,Lexington Avenue,R,985 LEXINGTON AVENUE,991,The Empire Shoe Repairing,7/20/2009,Misc Service,Lexington Ave,35.77607772,E
80,110125,Lexington Avenue,R,993 LEXINGTON AVENUE,993,MZ Wallace,4/24/2015,Accessories,Lexington Ave,35.77607772,E
81,110126,Lexington Avenue,,993 LEXINGTON AVENUE,993,delete,4/24/2015,,Lexington Ave,35.77607772,
82,110127,Lexington Avenue,R,993 LEXINGTON AVENUE,995,Joe & the Juice,5/2/2017,Juice Bars,Lexington Ave,35.77607772,E
83,110128,Lexington Avenue,,993 LEXINGTON AVENUE,997,Delete,12/1/2007,,Lexington Ave,35.77607772,
84,110129,Lexington Avenue,R,993 LEXINGTON AVENUE,997,Bandier Temp (Available),12/11/2015,Fashion:Upscale,E 72nd St,-67.40540888,N
85,110130,Lexington Avenue,R,1125 LEXINGTON AVENUE,1125,Vacant (Available),5/16/2017,Vacant,E 78th St,-66.97450799,N
86,110131,Lexington Avenue,R,1125 LEXINGTON AVENUE,1125,Pastrami Queen,7/13/2007,Caf??,Lexington Ave,35.39479584,E
87,110132,Lexington Avenue,R,1125 LEXINGTON AVENUE,1125,Wrap-n-Run,,Quick Service Restaurant,Lexington Ave,35.39479584,E
88,110133,Lexington Avenue,R,1125 LEXINGTON AVENUE,1125,Eyes on Lex,5/16/2017,Optical,Lexington Ave,35.39479584,E
89,110134,Lexington Avenue,R,1129 LEXINGTON AVENUE,1129,Vacant (Available),,Available,Lexington Ave,35.39479584,E
90,110135,Lexington Avenue,R,1131 LEXINGTON AVENUE,1131,Vacant (Available),7/5/2016,Vacant,Lexington Ave,35.39479584,E
91,110136,Lexington Avenue,R,1133 LEXINGTON AVENUE,1133,Don Fillipo Pizza,,Quick Service Restaurant,Lexington Ave,36.25383774,E
92,110137,Lexington Avenue,R,1135 LEXINGTON AVENUE,1135,First Republic Bank,2/20/2008,Bank,Lexington Ave,36.25383774,E
93,110138,Lexington Avenue,R,151 EAST 79 STREET,1143,Bank of America,,Bank,Lexington Ave,36.32682595,E
94,110139,Lexington Avenue,R,150 EAST 80 STREET,1157,Church,,Landmark,Lexington Ave,36.32682595,E
95,110140,Lexington Avenue,R,151 EAST 80 STREET,1173,Rani Arabella,12/5/2013,Candy/Gifts/Cards,E 80th St,-67.40540888,N
96,110141,Lexington Avenue,R,151 EAST 80 STREET,1175,Couture Tailoring,,Misc Service,Lexington Ave,35.7066914,E
97,110142,Lexington Avenue,R,151 EAST 80 STREET,1179,Vacant (Available),5/16/2017,Vacant,Lexington Ave,35.7066914,E
98,110143,Lexington Avenue,R,151 EAST 80 STREET,1183,A Gentleman's Barber Shop,7/5/2016,Salon/Spa,Lexington Ave,35.7066914,E
99,110144,Lexington Avenue,L,770 LEXINGTON AVENUE,770,Vacant (Available),7/28/2015,Vacant,Lexington Ave,36.13537661,W
100,110145,Lexington Avenue,L,770 LEXINGTON AVENUE,780,Sprinkles Cupcakes,9/28/2011,Caf??,Lexington Ave,36.13537661,W
101,110146,Lexington Avenue,L,780 LEXINGTON AVENUE,782,Sprinkles Ice Cream + Cookies,7/28/2015,Caf??,Lexington Ave,36.13537661,W
102,110147,Lexington Avenue,L,782 LEXINGTON AVENUE,782,Orva Shoes,,Accessories,Lexington Ave,36.13537661,W
103,110148,Lexington Avenue,L,782 LEXINGTON AVENUE,782,J. Fay Jewelry,9/10/2008,Accessories,Lexington Ave,36.13537661,W
104,110149,Lexington Avenue,L,782 LEXINGTON AVENUE,782,Sabon,,Cosmetics: Cosmetic Stores,E 61st St,-67.08044517,S
105,110150,Lexington Avenue,L,784 LEXINGTON AVENUE,784,Baked by Melissa,9/4/2013,Caf??,E 61st St,-67.08044517,S
106,110151,Lexington Avenue,L,786 LEXINGTON AVENUE,786,sweetgreen,,Quick Service Restaurant,Lexington Ave,36.13537661,W
107,110152,Lexington Avenue,L,788 LEXINGTON AVENUE,788,Farinella,4/24/2015,Caf??,Lexington Ave,36.13537661,W
108,110153,Lexington Avenue,L,790 LEXINGTON AVENUE,790,Green Gourmet,9/30/2015,Convenience Store,Lexington Ave,36.13537661,W
109,110154,Lexington Avenue,L,792 LEXINGTON AVENUE,792,Lilli & Loo Asian Cuisine,9/10/2008,Restaurant,Lexington Ave,36.13537661,W
110,110155,Lexington Avenue,L,796 LEXINGTON AVENUE,794,Pookie & Sebastian,10/28/2014,Fashion:Mainstream,Lexington Ave,36.13537661,W
111,110156,Lexington Avenue,L,796 LEXINGTON AVENUE,796,Embassy Liquors,,Misc Service,Lexington Ave,36.13537661,W
112,110157,Lexington Avenue,L,798 LEXINGTON AVENUE,798,American Kennels,,Pet Supplies/Services,Lexington Ave,36.13537661,W
113,110158,Lexington Avenue,L,800 LEXINGTON AVENUE,800,Ginza,10/28/2014,Restaurant,E 62nd St,-67.543061,S
114,110159,Lexington Avenue,L,802 LEXINGTON AVENUE,802,Smiley's Gourmet,7/13/2007,Grocery,E 62nd St,-67.543061,S
115,110160,Lexington Avenue,L,804 LEXINGTON AVENUE,804,Burger Heaven,,Restaurant,E 62nd St,-67.543061,S
116,110161,Lexington Avenue,L,806 LEXINGTON AVENUE,806,Pasteur Pharmacy,9/17/2015,Pharmacy,E 62nd St,-67.543061,S
117,110162,Lexington Avenue,L,808 LEXINGTON AVENUE,808,Fig & Olive,,Restaurant,Lexington Ave,35.97238705,W
118,110163,Lexington Avenue,R,140 EAST 63 STREET,140,SoulCycle,10/6/2014,Fitness,E 63rd St,-67.35518045,N
119,110164,Lexington Avenue,L,130 EAST 63 STREET,814,illesteva,7/5/2016,Accessories,Lexington Ave,35.97238705,W
120,110165,Lexington Avenue,L,130 EAST 63 STREET,816,Vacant (Available),7/5/2016,Vacant,Lexington Ave,35.97238705,W
121,110166,Lexington Avenue,L,130 EAST 63 STREET,818,Gale Grant,7/5/2016,Accessories,Lexington Ave,35.97238705,W
122,110167,Lexington Avenue,L,130 EAST 63 STREET,820,Diane B,7/13/2007,Accessories,E 63rd St,-67.08044517,S
123,110168,Lexington Avenue,L,130 EAST 63 STREET,822,Starbucks,4/10/2013,Caf??,E 63rd St,-67.08044517,S
124,110169,Lexington Avenue,L,824 LEXINGTON AVENUE,826,Les Portes de Paris,4/8/2011,Salon/Spa,E 63rd St,-67.08044517,S
125,110170,Lexington Avenue,L,826 LEXINGTON AVENUE,826,Lanciani,,Accessories,E 63rd St,-67.08044517,S
126,110171,Lexington Avenue,L,826 LEXINGTON AVENUE,828,Vacant (Available),5/16/2017,Vacant,Lexington Ave,36.13537661,W
127,110172,Lexington Avenue,,826 LEXINGTON AVENUE,828,delete,10/7/2014,,Lexington Ave,36.13537661,
128,110173,Lexington Avenue,L,826 LEXINGTON AVENUE,830,Canine Styles,,Pet Supplies/Services,Lexington Ave,36.13537661,W
129,110174,Lexington Avenue,L,826 LEXINGTON AVENUE,830,Canine Styles,7/20/2009,Pet Supplies/Services,Lexington Ave,36.13537661,W
130,110175,Lexington Avenue,L,826 LEXINGTON AVENUE,832,Baroness,,Accessories,Lexington Ave,36.13537661,W
131,110176,Lexington Avenue,L,826 LEXINGTON AVENUE,834,Anna Belen,4/26/2010,Accessories,Lexington Ave,36.13537661,W
132,110177,Lexington Avenue,L,826 LEXINGTON AVENUE,836,Verizon Wireless,4/26/2010,Electronics,Lexington Ave,36.13537661,W
133,110178,Lexington Avenue,L,826 LEXINGTON AVENUE,838,A&A Discounts One,7/20/2009,Dollar Store,E 64th St,-67.27026792,S
134,110179,Lexington Avenue,L,826 LEXINGTON AVENUE,842,Rituals,1/14/2016,Cosmetics: Cosmetic Stores,E 64th St,-67.27026792,S
135,110180,Lexington Avenue,L,844 LEXINGTON AVENUE,846,William - Wayne & Co.,7/20/2009,Candy/Gifts/Cards,E 64th St,-67.27026792,S
136,110181,Lexington Avenue,L,844 LEXINGTON AVENUE,852,Papyrus,1/14/2016,Candy/Gifts/Cards,Lexington Ave,36.29262973,W
137,110182,Lexington Avenue,L,856 LEXINGTON AVENUE,856,Tru Form Shoes,,Accessories,Lexington Ave,36.29262973,W
138,110183,Lexington Avenue,L,858 LEXINGTON AVENUE,858,Chatime,10/27/2014,Caf??,Lexington Ave,36.29262973,W
139,110184,Lexington Avenue,L,860 LEXINGTON AVENUE,860,Elegance Hardware,10/27/2014,Home Improvement,Lexington Ave,36.29262973,W
140,110185,Lexington Avenue,L,862 LEXINGTON AVENUE,862,Silver Mirror Facial Bar,7/5/2016,Salon/Spa,Lexington Ave,36.29262973,W
141,110186,Lexington Avenue,L,864 LEXINGTON AVENUE,864,Vacant (Available),8/1/2016,Vacant,E 65th St,-67.40744476,S
142,110187,Lexington Avenue,L,866 LEXINGTON AVENUE,866,Casa Del Bianco,9/10/2008,Other,E 65th St,-67.40744476,S
143,110188,Lexington Avenue,,868 LEXINGTON AVENUE,868,Delete,12/11/2013,,E 65th St,-67.40744476,
144,110189,Lexington Avenue,L,874 LEXINGTON AVENUE,874,Gourmet Bagel,7/20/2009,Quick Service Restaurant,Lexington Ave,36.41637852,W
145,110190,Lexington Avenue,L,876 LEXINGTON AVENUE,876,Pastafina,9/17/2015,Restaurant,Lexington Ave,36.41637852,W
146,110191,Lexington Avenue,L,878 LEXINGTON AVENUE,878,Gregory's Coffee,1/14/2016,Caf??,Lexington Ave,36.41637852,W
147,110192,Lexington Avenue,L,880 LEXINGTON AVENUE,880,Merit Cleaners,,Misc Service,Lexington Ave,36.41637852,W
148,110193,Lexington Avenue,L,880 LEXINGTON AVENUE,882,Dunkin' Donuts,4/24/2015,Caf??,Lexington Ave,36.41637852,W
149,110194,Lexington Avenue,L,888 LEXINGTON AVENUE,888,The Language Workshop (2nd floor),7/20/2009,Misc Service,E 66th St,-67.08044517,S
150,110195,Lexington Avenue,L,641 PARK AVENUE,0,Seventh Regiment Armory,7/20/2009,Education,Lexington Ave,35.97238705,W
151,110196,Lexington Avenue,L,904 LEXINGTON AVENUE,910,Hunter College,,Education,Lexington Ave,34.99202019,W
152,110197,Lexington Avenue,L,681 PARK AVENUE,928,School,,Education,Lexington Ave,36.13537661,W
153,110198,Lexington Avenue,L,944 LEXINGTON AVENUE,944,Plaza Flowers,4/24/2015,Misc Service,E 69th St,-67.08044517,S
154,110199,Lexington Avenue,L,944 LEXINGTON AVENUE,946,Amedeo,3/18/2014,Accessories,Lexington Ave,36.57303098,W
155,110200,Lexington Avenue,L,944 LEXINGTON AVENUE,948,Andrade Shoe Repair,,Misc Service,Lexington Ave,36.57303098,W
156,110201,Lexington Avenue,L,944 LEXINGTON AVENUE,950,Sara,,Other,Lexington Ave,36.57303098,W
157,110202,Lexington Avenue,L,944 LEXINGTON AVENUE,952,Frank Engle Cleaners,7/20/2009,Misc Service,Lexington Ave,36.57303098,W
158,110203,Lexington Avenue,L,956 LEXINGTON AVENUE,954,Lex Pack & Ship,6/19/2012,Office Supply/Copy/Shipping,Lexington Ave,36.57303098,W
159,110204,Lexington Avenue,L,956 LEXINGTON AVENUE,956,mo il gelato,7/5/2016,Candy/Gifts/Cards,Lexington Ave,36.57303098,W
160,110205,Lexington Avenue,L,956 LEXINGTON AVENUE,956,Vacant (Available),7/5/2016,Vacant,Lexington Ave,36.57303098,W
161,110206,Lexington Avenue,L,956 LEXINGTON AVENUE,958,Farone Mennella,4/24/2015,Accessories,Lexington Ave,36.57303098,W
162,110207,Lexington Avenue,L,956 LEXINGTON AVENUE,958,Katherine Tess Jewelry (Coming Soon),,Accessories,E 70th St,-66.89367314,S
163,110208,Lexington Avenue,L,962 LEXINGTON AVENUE,960,Corrado Bread & Pastry Caf??,7/20/2009,Caf??,E 70th St,-66.89367314,S
164,110209,Lexington Avenue,L,962 LEXINGTON AVENUE,962,Mecox Gardens,,Home Furnishings,Lexington Ave,36.13537661,W
165,110210,Lexington Avenue,L,964 LEXINGTON AVENUE,964,Caf?? Americano,5/16/2017,Restaurant,Lexington Ave,36.13537661,W
166,110211,Lexington Avenue,L,964 LEXINGTON AVENUE,966,Hunter Deli,,Convenience Store,Lexington Ave,36.13537661,W
167,110212,Lexington Avenue,L,968 LEXINGTON AVENUE,968,Space NK Apothecary,9/14/2012,Salon/Spa,Lexington Ave,36.13537661,W
168,110213,Lexington Avenue,L,970 LEXINGTON AVENUE,970,Michael Boris,1/14/2016,Fashion:Luxury,Lexington Ave,36.13537661,W
169,110214,Lexington Avenue,L,972 LEXINGTON AVENUE,972,Henry Miller Opticians,,Optical,Lexington Ave,36.13537661,W
170,110215,Lexington Avenue,L,972 LEXINGTON AVENUE,972,Jennifer Miller,,Accessories,Lexington Ave,36.13537661,W
171,110216,Lexington Avenue,L,972 LEXINGTON AVENUE,972,Erika Cleaners,9/10/2008,Misc Service,Lexington Ave,36.13537661,W
172,110217,Lexington Avenue,L,972 LEXINGTON AVENUE,972,Vincent and Edgar Custom Shoes,10/8/2010,Accessories,E 71st St,-67.21759427,S
173,110218,Lexington Avenue,L,972 LEXINGTON AVENUE,972,French Sole Comfort,9/14/2012,Accessories,E 71st St,-67.21759427,S
174,110219,Lexington Avenue,L,976 LEXINGTON AVENUE,976,French Sole,12/1/2007,Restaurant,E 71st St,-67.21759427,S
175,110220,Lexington Avenue,L,976 LEXINGTON AVENUE,976,Framed on Madison?Çªon Lex,7/20/2009,Misc Service,Lexington Ave,35.77607772,W
176,110221,Lexington Avenue,L,976 LEXINGTON AVENUE,978,L'Art De Vivre Antiques,,Home Furnishings,Lexington Ave,35.77607772,W
177,110222,Lexington Avenue,L,976 LEXINGTON AVENUE,980,Doob (pop-up),,Available,Lexington Ave,35.77607772,W
178,110223,Lexington Avenue,L,976 LEXINGTON AVENUE,988,Lee Anderson Couture,7/20/2009,Fashion:Luxury,Lexington Ave,35.77607772,W
179,110224,Lexington Avenue,L,976 LEXINGTON AVENUE,990,Shen New York,9/10/2008,Fashion:Upscale,Lexington Ave,35.77607772,W
180,110225,Lexington Avenue,L,976 LEXINGTON AVENUE,992,Delta Hair Stylist,7/20/2009,Salon/Spa,Lexington Ave,35.77607772,W
181,110226,Lexington Avenue,L,976 LEXINGTON AVENUE,996,Peter Elliot Blue,7/28/2015,Fashion:Upscale,E 72nd St,-67.21759427,S
182,110227,Lexington Avenue,L,1120 LEXINGTON AVENUE,1122,FedEx Office,4/3/2007,Office Supply/Copy/Shipping,E 78th St,-67.8097111,S
183,110228,Lexington Avenue,L,1120 LEXINGTON AVENUE,1132,Farinella,7/28/2015,Caf??,Lexington Ave,35.39479584,W
184,110229,Lexington Avenue,L,1132 LEXINGTON AVENUE,1136,Lexington Avenue Grocery & Convenience,6/15/2010,Convenience Store,Lexington Ave,35.39479584,W
185,110230,Lexington Avenue,L,1132 LEXINGTON AVENUE,1138,Associated Locksmith,,Misc Service,Lexington Ave,36.25383774,W
186,110231,Lexington Avenue,L,1132 LEXINGTON AVENUE,1140,Lenox Hill Florist,9/10/2008,Other,E 79th St,-66.89367314,S
187,110232,Lexington Avenue,L,139 EAST 79 STREET,1142,Elsler Chemists,,Pharmacy,Lexington Ave,36.32682595,W
188,110233,Lexington Avenue,L,139 EAST 79 STREET,1144,Oren's Daily Roast,9/10/2008,Caf??,Lexington Ave,36.32682595,W
189,110234,Lexington Avenue,L,139 EAST 79 STREET,1146,Blue Ceil,5/16/2017,Salon/Spa,Lexington Ave,36.32682595,W
190,110235,Lexington Avenue,L,139 EAST 79 STREET,1148,Leased,7/21/2016,Other,Lexington Ave,36.32682595,W
191,110236,Lexington Avenue,,139 EAST 79 STREET,1148,Delete,7/13/2007,,Lexington Ave,36.32682595,
192,110237,Lexington Avenue,L,139 EAST 79 STREET,1148,Care Plus Cleaners,6/19/2012,Misc Service,Lexington Ave,36.32682595,W
193,110238,Lexington Avenue,L,142 EAST 80 STREET,1150,Burger One,6/15/2010,Restaurant,Lexington Ave,36.32682595,W
194,110239,Lexington Avenue,L,142 EAST 80 STREET,1154,M&S News,2/24/2009,Convenience Store,Lexington Ave,36.32682595,W
195,110240,Lexington Avenue,L,142 EAST 80 STREET,1156,Daniels Watch & Jewelry Repair,6/15/2010,Accessories,Lexington Ave,36.32682595,W
196,110241,Lexington Avenue,,142 EAST 80 STREET,1158,Delete,8/17/2009,,Lexington Ave,36.32682595,
197,110242,Lexington Avenue,L,142 EAST 80 STREET,1160,Century Florist,9/10/2008,Other,E 80th St,-67.03077487,S
198,110243,Lexington Avenue,L,133 EAST 80 STREET,1164,Vacant (Available),7/5/2016,Vacant,E 80th St,-67.03077487,S
199,110244,Lexington Avenue,L,133 EAST 80 STREET,1168,Georges European Tailors,,Misc Service,E 80th St,-67.03077487,S
200,110245,Lexington Avenue,L,133 EAST 80 STREET,1174,Apple Bank for Savings,9/4/2013,Bank,Lexington Ave,35.7066914,W
201,110246,Lexington Avenue,L,133 EAST 80 STREET,1178,Mary Arnold Toys,5/16/2017,Toys,Lexington Ave,35.7066914,W
202,110247,Lexington Avenue,L,140 EAST 74 STREET,1034,Peter Elliot,1/14/2016,Fashion:Luxury,E 74th St,-66.89367314,S
203,110248,Lexington Avenue,L,140 EAST 74 STREET,1034 1/2,Seigo New York,4/14/2010,Fashion:Upscale,Lexington Ave,36.13537661,W
